url	source_name	name	form	rig
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(EQ%20-%20mellow)%20L.txt	Sony WF-1000XM4 (EQ: mellow)	Sony WF-1000XM4 (Mellow preset)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(EQ%20-%20relaxed)%20L.txt	Sony WF-1000XM4 (EQ: relaxed)	Sony WF-1000XM4 (Relaxed preset)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(XM3%20silicone)%20L.txt		Sony WF-1000XM4 (Sony WF-1000XM3 silicone eartips)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(EQ%20-%20speech)%20L.txt	Sony WF-1000XM4 (EQ: speech)	Sony WF-1000XM4 (Speech preset)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(SpinFit)%20L.txt		Sony WF-1000XM4 (SpinFit eartips)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(Tanchjim%20APB)%20L.txt		Sony WF-1000XM4 (Tanchjim APB eartips)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(EQ%20-%20treble%20boost)%20L.txt	Sony WF-1000XM4 (EQ: treble boost)	Sony WF-1000XM4 (Treble Boost preset)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(EQ%20-%20vocal)%20L.txt	Sony WF-1000XM4 (EQ: vocal)	Sony WF-1000XM4 (Vocal preset)	in-ear	711
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(ambient%20on)%20L.txt		Sony WF-1000XM4 (ambient on)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(fw%201.1.15)%20L.txt		Sony WF-1000XM4 (fw 1.1.15)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20EQ%20-%20bright)%20L.txt		Sony WF-1000XM4 (max - EQ - bright)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20EQ%20-%20excited)%20L.txt		Sony WF-1000XM4 (max - EQ - excited)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20EQ%20-%20mellow)%20L.txt		Sony WF-1000XM4 (max - EQ - mellow)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20EQ%20-%20relaxed)%20L.txt		Sony WF-1000XM4 (max - EQ - relaxed)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20EQ%20-%20speech)%20L.txt		Sony WF-1000XM4 (max - EQ - speech)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20EQ%20-%20vocal)%20L.txt		Sony WF-1000XM4 (max - EQ - vocal)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20Final%20E-type)%20L.txt		Sony WF-1000XM4 (max - Final E-type)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20MRS%20config)%20L.txt		Sony WF-1000XM4 (max - MRS config)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20Sedna%20Light%20Short)%20L.txt		Sony WF-1000XM4 (max - Sedna Light Short)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20SpinFit)%20L.txt		Sony WF-1000XM4 (max - SpinFit)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20Tanchjim%20APB)%20L.txt		Sony WF-1000XM4 (max - Tanchjim APB)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20XM3%20silicone)%20L.txt		Sony WF-1000XM4 (max - XM3 silicone)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20ANC%20off)%20L.txt	Sony WF-1000XM4 (max vol - ANC off)	Sony WF-1000XM4 (max vol - ANC off)	ignore	
https://superreview.squig.link/data/Sony%20WF-1000XM4%20(max%20-%20ANC%20on)%20L.txt	Sony WF-1000XM4 (max vol - ANC on)	Sony WF-1000XM4 (max vol - ANC on)	ignore	
